Area (sq ft),Bedrooms,Bathrooms,Location,Age of Property,Price ($)
1966,1,1,North Marcusport,67,819228
1397,1,2,East Beth,36,847745
1516,5,2,Lake Kelly,88,246163
3864,1,2,Lake Jacobshire,13,335506
2073,1,3,West Michaelborough,97,321435
3977,1,1,North Robertberg,88,173138
3039,4,1,Scottmouth,97,133470
2845,2,1,West Matthewside,98,660517
4972,5,1,Millertown,55,656687
2722,5,1,West Matthew,73,131300
2428,1,3,Wilcoxshire,18,311476
3695,4,4,Jenniferville,55,304243
1409,2,1,North Michaelberg,29,248927
4214,3,1,Michaelport,58,305823
4627,1,3,Morrischester,95,261386
3270,1,1,Danaton,95,198026
2566,1,1,Schneidershire,63,102433
2289,1,3,Fergusonfort,62,127118
3177,4,4,Port James,47,642057
4689,2,1,Hollandport,35,968303
1762,1,2,Kristinshire,83,176071
4649,4,3,Jenniferburgh,14,399644
966,3,2,Allenfort,58,113284
2098,4,1,North Charlotte,64,66908
1699,1,3,New Richard,78,408301
3033,5,3,Lake Alexanderside,76,397354
3707,4,2,Christianhaven,11,308173
3944,5,3,East Richard,22,956710
4721,2,3,Harmonstad,14,354238
1435,2,2,Brandonview,43,178533
3383,4,3,Ethanmouth,21,772262
3889,3,1,Tylerborough,29,206949
4113,4,3,Bobbytown,91,67117
3050,2,2,North Timothy,14,616041
4524,4,2,Heidishire,93,477356
3468,2,3,East Ryan,22,376872
4934,1,3,North Chad,51,302125
2981,5,2,Joshuafurt,19,980382
4812,4,3,Lake Lisashire,77,961609
4337,5,4,Port Brenda,46,553041
2596,1,4,West Bradyland,32,297640
2102,2,3,Melissaville,57,897179
1423,3,4,Bridgetfurt,89,617180
2014,2,2,East Tinamouth,33,950582
1212,3,2,Huynhtown,50,161089
3249,4,2,Lake Charles,96,83817
701,1,4,Brownville,65,491936
4218,5,2,Castilloside,81,180456
3268,3,3,East Fred,76,643886
2902,1,1,Greenland,40,646573
2277,3,4,North Laurenton,44,889305
1072,3,4,East Kellibury,66,339988
3762,2,1,West Brian,87,984903
1116,2,3,Alexview,92,351876
2091,3,2,South Jessica,11,155861
2809,2,3,North Sharon,63,808975
4397,1,3,New Bryanton,45,919209
2342,2,1,Jacksonfort,0,416664
3171,4,2,Castroburgh,48,107199
3494,2,2,South Richard,31,987410
1210,3,4,Deanfurt,46,91326
2190,5,4,New Tinaport,79,261065
2129,1,2,Lake Heatherborough,41,523241
3431,4,2,East Michaelchester,86,854366
4746,2,3,Brownborough,13,519153
4596,5,3,Elizabethland,86,960434
999,3,4,Port Todd,75,678846
4963,2,4,Jenniferburgh,85,279574
3347,1,4,Carolyntown,15,980294
3691,3,2,New Richardville,100,501727
714,3,3,North Wendy,25,141988
1236,1,3,Ronaldbury,0,287939
1819,5,1,Elizabethmouth,18,701626
2863,1,3,Cardenasfort,83,990535
2009,2,2,Margaretfort,3,322739
3493,3,1,Lake James,39,196471
2684,3,2,South Samanthaborough,52,307972
2609,3,1,East Mary,2,477233
2292,4,2,North Ryanmouth,54,876380
4218,3,3,East Melissaview,13,411293
2848,4,2,Frostshire,89,657978
1676,1,2,East Alec,87,377290
1354,1,3,Lake Lisaview,81,277889
634,5,2,West Angela,44,276989
3729,4,1,Chrisshire,71,468372
3242,2,4,New Larryport,89,121114
3029,5,1,Charlesberg,77,706687
4514,5,4,West Teresaview,8,60684
3064,3,1,Jonathantown,18,324665
4798,3,3,Santiagomouth,24,375088
4911,2,1,Jessicahaven,73,186269
1718,1,4,North Kelsey,2,960860
2294,1,1,Anneside,88,101043
2457,1,3,West Joel,10,58659
2199,5,1,West Amanda,42,499250
1494,2,2,Rodriguezstad,82,691013
1759,2,2,Robinsonport,87,501557
3971,2,1,East Amandafurt,26,370400
2696,5,3,New Larryshire,100,863167
3631,5,4,New Josephhaven,70,551685
2028,5,1,Port Michaeltown,27,901113
2448,4,4,Deanburgh,76,611092
3011,3,1,East Carolinehaven,3,419766
4331,1,4,Alvarezchester,71,117989
4442,4,4,North Stevenstad,55,130391
2842,4,1,Kramerport,31,219475
3834,1,3,Michaelmouth,39,205011
2495,1,4,Cooperchester,58,117676
1412,4,3,Joyburgh,96,322556
962,2,3,South William,32,809872
3720,4,1,New Kathleenport,41,496473
3862,1,1,Port Christopher,14,387108
3035,4,2,Mollyport,72,311682
3993,2,3,New Mary,59,387147
1317,2,2,Lake Brookeburgh,1,985906
4946,5,2,Brownmouth,100,437469
765,3,1,Thomasside,3,571837
1331,1,4,East Brenda,76,127989
3092,3,4,Smithfort,93,185512
1980,4,1,Potterstad,79,534089
2130,5,3,Chloetown,63,429253
4083,3,4,Barnestown,54,556030
2139,2,4,Port Raymond,91,148662
590,1,2,North Tammyville,69,352314
3037,1,4,Garciachester,57,595019
2968,2,2,Port Robin,31,287920
3762,3,3,Port Toddshire,35,346853
2705,4,3,Sanchezborough,63,608822
2113,2,4,North Lindaport,70,651735
4486,2,3,Millerton,74,512455
3509,3,4,North Michelleshire,44,221145
3664,3,4,North Danieltown,70,499162
2195,5,3,North Joseph,55,759757
2094,5,3,Michaelshire,25,416991
4707,3,3,Loribury,61,570700
827,4,1,South William,55,71673
1707,4,1,East Melissaberg,25,739328
3504,2,2,Johnsonbury,76,795271
3607,3,4,Francotown,50,554948
1031,1,2,Kellichester,72,945946
4292,5,1,Jamiebury,69,243727
1806,3,3,Larryland,98,192010
3367,4,4,Morrisonhaven,35,747634
870,2,2,Kimberg,59,950655
1565,2,1,Hubershire,44,437644
3975,1,3,Grossfort,58,421698
2755,4,3,Tranchester,73,488102
1927,4,2,Carlosbury,33,207875
1078,3,3,Phillipsmouth,89,109566
4574,5,1,Elainehaven,92,567139
3129,1,3,Coleside,28,632957
675,3,4,Stephenchester,46,144084
767,4,1,Fordland,25,99355
3676,1,4,East Josephberg,45,875170
2753,2,1,Debbieshire,65,763084
761,4,3,Coreystad,29,659866
2797,3,2,South Micheleview,20,782280
570,4,1,West Jenniferfort,85,249235
4991,1,2,South Steven,27,688235
2737,4,1,Lake Nina,57,585575
3385,4,2,South Joanville,67,825696
643,4,2,East Jessicaport,3,251104
3524,1,1,Mitchellmouth,40,892866
2574,2,2,East Brianastad,82,699177
3094,4,3,Thomaston,68,302381
730,1,4,Youngville,91,699955
3334,3,1,East Lindafurt,100,801806
2426,2,2,Mcdonaldfurt,40,149496
4482,1,3,South Debrabury,7,183444
504,3,1,North Mariaton,13,523644
3188,2,4,Haleyfort,59,74610
2248,2,1,New Christopherport,33,622272
4139,5,2,Russellmouth,71,575089
1842,5,2,Port Colin,15,859496
1825,4,3,West Lindafurt,81,723245
778,5,2,Stoutbury,13,876839
1496,5,2,Lake Heidifort,57,529907
1085,4,1,Brianfort,61,721042
1926,1,1,Robinside,92,305459
2495,4,1,Jenniferberg,99,625162
2345,4,1,Barbaraberg,37,110688
3133,1,2,Nicolaschester,80,961210
1223,2,1,Smithborough,69,332224
3743,4,3,West William,35,441949
2602,3,2,Levinestad,38,569362
983,2,2,North Jessicaview,80,932246
780,5,3,Mistyburgh,92,570760
3175,3,4,Ramirezhaven,34,205121
3867,3,3,North Ryan,18,676147
4390,5,1,New George,42,764772
3527,5,3,Lamberthaven,81,913477
1620,4,4,West James,52,376679
3518,2,2,Johnsonborough,60,734142
2432,4,4,New Robert,89,180878
3295,4,1,Port Mike,29,81580
1577,1,2,Lake Benjamin,1,424846
3278,3,1,Port Johnathan,99,489745
3264,5,1,South Marymouth,4,709115
4594,2,2,Lopezberg,3,207207
3675,2,2,Nicoleton,89,779863
4033,4,3,West Katrinastad,45,854141
4031,4,3,Alvarezhaven,20,270578
1004,3,1,Youngland,63,452078
2906,1,4,Navarroshire,24,364578
1676,2,4,Perrymouth,25,145780
3268,5,2,Kirstenside,19,617439
3081,1,3,Jasonland,3,923085
3343,1,3,New Brittany,39,269861
931,3,4,Jameston,4,942430
2617,5,2,North Kelly,20,647463
2998,4,4,Lake Davidshire,72,921345
4606,3,1,Piercefort,50,114405
3619,1,1,Lauraton,79,825508
3909,4,3,North Charleshaven,60,338444
668,2,3,New Edwardville,94,737169
1239,5,2,Port Jenniferfort,7,213479
4087,1,1,Port Sharon,64,200423
4320,2,1,North Nathanview,3,954220
908,4,2,Torresburgh,78,664271
4691,5,3,Cunninghamport,98,213355
4070,5,1,Whitemouth,90,856307
1989,3,3,Terryview,10,524399
2543,5,1,New Douglasview,69,468331
2980,3,2,East Alexanderview,76,780874
4546,2,3,New Peterport,51,149740
4688,5,1,Rogersbury,48,619111
2442,1,3,Lisaview,95,670729
3152,3,1,West Lisafort,67,879589
2585,5,4,Port Lisafurt,78,335493
1142,2,1,Lake Jane,75,887692
2149,4,4,Ryanfurt,10,451296
3593,3,2,Clarkfort,18,937735
3326,5,3,Paulashire,34,811557
2975,5,3,South Briana,79,839745
4144,4,3,South Priscilla,18,702544
857,5,1,Henrybury,13,671291
4202,5,1,Port Alexander,10,838618
784,3,1,Lake Michaelhaven,16,605928
3614,2,3,West Dustin,42,483252
1715,1,2,Petermouth,8,781683
1140,2,4,New Alexandrialand,40,954091
3205,2,1,Saundersmouth,100,270980
668,4,1,Amyland,62,585454
1913,5,2,Johnburgh,60,149797
1727,1,1,Robinsonside,13,527346
2510,1,4,Port Marco,54,982985
1236,1,4,Port Amy,100,388760
737,3,3,Ashleybury,43,785842
1597,1,3,Robinside,39,530739
2907,1,3,Kathrynside,51,569719
1194,2,4,New Brookeburgh,22,265390
1129,5,3,Garymouth,4,899820
2143,1,4,Port Eric,66,184144
3451,3,4,Lake Lisa,12,312771
3699,5,1,Martinezland,32,428924
2005,1,1,Lake Richardborough,90,773522
4638,1,3,South Lindafort,99,398600
